Feature ID	Taxon	Confidence
04a70f2f71e9fe6e9c8e28ce189b4653	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.9413704989435628
26631400c46ddb5f4b8239368a16a091	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae	0.9997704792231301
2885c30da6179469a3f5bd1043d2cd39	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax	0.9495301172377294
6c406a4ff6a282369b8c7fed22410b87	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga	0.9431709864134729
01717f807e4e2cfb262898a94a678555	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.8493173242248627
961d279fe991546b23e5ed2c981b8eed	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.997119579699387
1a661bd0bcfd5eb4e61a062a23f5b677	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella	0.9287241055673103
ef25aea9eb4e9103503840ed6b957a48	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas	0.9840154248908769
31194eb123f89f0b464e22c8eff4fa0e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__uncultured; s__uncultured_bacterium	0.817624636063495
1a9124e0c73b49181666284b5637afe5	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales	0.9924619544959702
f86b22b6ec7aa2a94d57e36a0a7ff25b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9983743540192341
